日付,日付,都道府県コード,都道府県名,各地の感染者数_1日ごとの発表数,各地の感染者数_累計,各地の死者数_1日ごとの発表数,各地の死者数_累計
2021-03-26,2021-03-26,28,兵庫県,116,19346,1,584
2021-03-27,2021-03-27,28,兵庫県,164,19510,0,584
2021-03-28,2021-03-28,28,兵庫県,91,19601,0,584
2021-03-29,2021-03-29,28,兵庫県,70,19671,2,586
2021-03-30,2021-03-30,28,兵庫県,176,19847,1,587
2021-03-31,2021-03-31,28,兵庫県,211,20058,4,591
2021-04-01,2021-04-01,28,兵庫県,199,20257,3,594
2021-04-02,2021-04-02,28,兵庫県,174,20431,0,594
2021-04-03,2021-04-03,28,兵庫県,205,20636,1,595
2021-04-04,2021-04-04,28,兵庫県,210,20846,1,596
2021-04-05,2021-04-05,28,兵庫県,87,20933,0,596
2021-04-06,2021-04-06,28,兵庫県,274,21207,0,596
2021-04-07,2021-04-07,28,兵庫県,328,21535,2,598
2021-04-08,2021-04-08,28,兵庫県,311,21846,1,599
2021-04-09,2021-04-09,28,兵庫県,312,22158,5,604
2021-04-10,2021-04-10,28,兵庫県,350,22508,2,606
2021-04-11,2021-04-11,28,兵庫県,228,22736,1,607
2021-04-12,2021-04-12,28,兵庫県,157,22893,0,607
2021-04-13,2021-04-13,28,兵庫県,390,23283,1,608
2021-04-14,2021-04-14,28,兵庫県,505,23788,9,617
2021-04-15,2021-04-15,28,兵庫県,492,24280,1,618
2021-04-16,2021-04-16,28,兵庫県,510,24790,4,622
2021-04-17,2021-04-17,28,兵庫県,537,25327,2,624
2021-04-18,2021-04-18,28,兵庫県,401,25728,2,626
2021-04-19,2021-04-19,28,兵庫県,292,26020,0,626
2021-04-20,2021-04-20,28,兵庫県,427,26447,7,633
2021-04-21,2021-04-21,28,兵庫県,563,27010,5,638
2021-04-22,2021-04-22,28,兵庫県,544,27554,7,645
2021-04-23,2021-04-23,28,兵庫県,566,28120,8,653
2021-04-24,2021-04-24,28,兵庫県,629,28749,4,657
2021-04-25,2021-04-25,28,兵庫県,473,29222,2,659
2021-04-26,2021-04-26,28,兵庫県,309,29531,4,663
2021-04-27,2021-04-27,28,兵庫県,502,30033,5,668
2021-04-28,2021-04-28,28,兵庫県,598,30631,4,672
2021-04-29,2021-04-29,28,兵庫県,532,31163,3,675
2021-04-30,2021-04-30,28,兵庫県,333,31496,2,677
2021-05-01,2021-05-01,28,兵庫県,539,32035,13,690
2021-05-02,2021-05-02,28,兵庫県,535,32570,12,702
2021-05-03,2021-05-03,28,兵庫県,340,32910,2,704
2021-05-04,2021-05-04,28,兵庫県,332,33242,4,708
2021-05-05,2021-05-05,28,兵庫県,327,33569,13,721
2021-05-06,2021-05-06,28,兵庫県,280,33849,4,725
2021-05-07,2021-05-07,28,兵庫県,493,34342,39,764
2021-05-08,2021-05-08,28,兵庫県,567,34909,6,770
2021-05-09,2021-05-09,28,兵庫県,364,35273,8,778
2021-05-10,2021-05-10,28,兵庫県,271,35544,19,797
2021-05-11,2021-05-11,28,兵庫県,376,35920,14,811
2021-05-12,2021-05-12,28,兵庫県,381,36301,7,818
2021-05-13,2021-05-13,28,兵庫県,359,36660,22,840
2021-05-14,2021-05-14,28,兵庫県,314,36974,8,848
2021-05-15,2021-05-15,28,兵庫県,298,37272,7,855
2021-05-16,2021-05-16,28,兵庫県,266,37538,7,862
2021-05-17,2021-05-17,28,兵庫県,120,37658,33,895
2021-05-18,2021-05-18,28,兵庫県,249,37907,129,1024
